TV Show Title,Unique ID,IMDB Rating,Start Year,End Year,TV Rating,Episode Run Time (min),Top Genres
Cyberpunk: Edgerunners,tt12590266,8.5,2022, ,TV-MA,24,"['Animation', ' Action', ' Adventure']"
Rick and Morty,tt2861424,9.2,2013, ,TV-MA,23,"['Animation', ' Adventure', ' Comedy']"
Don't Hug Me I'm Scared,tt14932528,8.9,2022, ,TV-14,23,"['Animation', ' Comedy', ' Horror']"
Family Guy,tt0182576,8.2,1999, ,TV-MA,22,"['Animation', ' Comedy']"
The Simpsons,tt0096697,8.7,1989, ,TV-14,22,"['Animation', ' Comedy']"
Attack on Titan,tt2560140,9.0,2013,2023,TV-MA,24,"['Animation', ' Action', ' Adventure']"
One Piece,tt0388629,8.9,1999, ,TV-14,24,"['Animation', ' Action', ' Adventure']"
Star Trek: Lower Decks,tt9184820,7.4,2020, ,TV-14,25,"['Animation', ' Action', ' Adventure']"
Arcane,tt11126994,9.0,2021, ,TV-14,41,"['Animation', ' Action', ' Adventure']"
Archer,tt1486217,8.6,2009, ,TV-MA,22,"['Animation', ' Action', ' Comedy']"
Bob's Burgers,tt1561755,8.2,2011, ,TV-14,22,"['Animation', ' Comedy']"
BoJack Horseman,tt3398228,8.8,2014,2020,TV-MA,25,"['Animation', ' Comedy', ' Drama']"
Harley Quinn,tt7658402,8.5,2019, ,TV-MA,23,"['Animation', ' Action', ' Adventure']"
"Love, Death & Robots",tt9561862,8.4,2019, ,TV-MA,15,"['Animation', ' Short', ' Action']"
South Park,tt0121955,8.7,1997, ,TV-14,22,"['Animation', ' Comedy']"
Demon Slayer: Kimetsu no Yaiba,tt9335498,8.7,2019, ,TV-MA,24,"['Animation', ' Action', ' Adventure']"
Avatar: The Last Airbender,tt0417299,9.3,2005,2008,TV-Y7-FV,23,"['Animation', ' Action', ' Adventure']"
Jujutsu Kaisen,tt12343534,8.6,2020, ,TV-MA,24,"['Animation', ' Action', ' Adventure']"
Little Demon,tt12198014,6.5,2022, ,TV-MA,26,"['Animation', ' Comedy', ' Horror']"
Star Wars: The Clone Wars,tt0458290,8.4,2008,2020,TV-PG,23,"['Animation', ' Action', ' Adventure']"
American Dad!,tt0397306,7.4,2005, ,TV-MA,22,"['Animation', ' Comedy']"
Invincible,tt6741278,8.7,2021, ,TV-MA,50,"['Animation', ' Action', ' Adventure']"
Futurama,tt0149460,8.5,1999,2023,TV-14,22,"['Animation', ' Adventure', ' Comedy']"
SpongeBob SquarePants,tt0206512,8.2,1999, ,TV-Y7,23,"['Animation', ' Comedy', ' Family']"
Pantheon,tt11680642,8.1,2022, ,TV-14,41,"['Animation', ' Drama', ' Sci-Fi']"
My Hero Academia,tt5626028,8.4,2016, ,TV-14,24,"['Animation', ' Action', ' Adventure']"
Primal,tt10332508,8.7,2019, ,TV-MA,22,"['Animation', ' Action', ' Adventure']"
Hunter x Hunter,tt2098220,9.0,2011,2014,TV-14,24,"['Animation', ' Action', ' Adventure']"
JoJo's Bizarre Adventure,tt2359704,8.4,2012, ,TV-14,30,"['Animation', ' Action', ' Adventure']"
Bee and PuppyCat,tt4163486,8.2,2013, ,TV-PG,7,"['Animation', ' Short', ' Action']"
Naruto: Shippûden,tt0988824,8.7,2007,2017,TV-PG,24,"['Animation', ' Action', ' Adventure']"
Fullmetal Alchemist: Brotherhood,tt1355642,9.1,2009,2010,TV-14,24,"['Animation', ' Action', ' Adventure']"
Bluey,tt7678620,9.7,2018, ,TV-Y,7,"['Animation', ' Family']"
Adventure Time,tt1305826,8.6,2010,2018,TV-PG,11,"['Animation', ' Action', ' Adventure']"
Naruto,tt0409591,8.4,2002,2007,TV-PG,24,"['Animation', ' Action', ' Adventure']"
Death Note,tt0877057,9.0,2006,2007,TV-14,24,"['Animation', ' Crime', ' Drama']"
Gravity Falls,tt1865718,8.9,2012,2016,TV-Y7,23,"['Animation', ' Action', ' Adventure']"
SPY×FAMILY,tt13706018,8.6,2022, ,TV-14,24,"['Animation', ' Action', ' Comedy']"
Solar Opposites,tt8910922,8.0,2020, ,TV-MA,22,"['Animation', ' Comedy', ' Sci-Fi']"
Big Mouth,tt6524350,7.9,2017, ,TV-MA,30,"['Animation', ' Comedy', ' Romance']"
Classroom of the Elite,tt7263328,7.7,2017, ,TV-14,24,"['Animation', ' Thriller']"
Dragon Ball Z,tt0214341,8.8,1989,1996,TV-PG,24,"['Animation', ' Action', ' Adventure']"
The Owl House,tt8050756,8.3,2020,2022,TV-Y7-FV,22,"['Animation', ' Action', ' Adventure']"
Bleach,tt0434665,8.2,2004,2012,TV-14,24,"['Animation', ' Action', ' Adventure']"
Star Wars: The Bad Batch,tt12708542,7.8,2021, ,TV-PG,"
","['Animation', ' Action', ' Adventure']"
Cars on the Road,tt11981568,7.0,2022, ,TV-G,"
","['Animation', ' Adventure', ' Comedy']"
King of the Hill,tt0118375,7.5,1997,2010,TV-14,30,"['Animation', ' Comedy', ' Drama']"
Made in Abyss,tt7222086,8.4,2017, ,TV-14,325,"['Animation', ' Action', ' Adventure']"
The Prince,tt11650736,5.5,2021),(2021,TV-MA,14,"['Animation', ' Comedy']"
Batman: The Animated Series,tt0103359,9.0,1992,1995,TV-PG,23,"['Animation', ' Action', ' Adventure']"
